injury_code,injury_name,feature,coefficient,abs_coefficient
0,Control,Cytoplasm_Intensity_MADIntensity_ER,-2.0545680490852964,2.0545680490852964
0,Control,Nuclei_Intensity_MinIntensity_ER,1.3000299599128395,1.3000299599128395
0,Control,Nuclei_Intensity_StdIntensityEdge_ER,1.1290910826188418,1.1290910826188418
0,Control,Nuclei_Intensity_MinIntensity_AGP,-1.0721129385333539,1.0721129385333539
0,Control,Cytoplasm_Intensity_MADIntensity_RNA,-0.9969080890314083,0.9969080890314083
0,Control,Nuclei_RadialDistribution_RadialCV_ER_4of4,0.9319133567980136,0.9319133567980136
0,Control,Cells_Intensity_IntegratedIntensity_AGP,-0.7982526041602336,0.7982526041602336
0,Control,Nuclei_Intensity_IntegratedIntensityEdge_AGP,-0.7544859044304953,0.7544859044304953
0,Control,Nuclei_Intensity_MassDisplacement_ER,0.5942069066039843,0.5942069066039843
0,Control,Cells_Intensity_MeanIntensity_RNA,0.5813722927630239,0.5813722927630239
0,Control,Cells_Intensity_MinIntensityEdge_Mito,0.5687594097874118,0.5687594097874118
0,Control,Cytoplasm_Intensity_MeanIntensityEdge_RNA,0.5605514892741558,0.5605514892741558
0,Control,Cytoplasm_Intensity_IntegratedIntensityEdge_AGP,-0.5568183735868043,0.5568183735868043
0,Control,Cells_Intensity_StdIntensityEdge_ER,-0.5202698206225064,0.5202698206225064
0,Control,Nuclei_Intensity_IntegratedIntensityEdge_Mito,-0.45001826008218865,0.45001826008218865
0,Control,Cells_RadialDistribution_RadialCV_RNA_4of4,-0.43845594406361377,0.43845594406361377
0,Control,Nuclei_Intensity_MADIntensity_Mito,-0.22359642679733396,0.22359642679733396
0,Control,Cytoplasm_Intensity_StdIntensity_DNA,0.1808277410299273,0.1808277410299273
0,Control,Cells_Intensity_MaxIntensityEdge_Mito,-0.18056017934036286,0.18056017934036286
0,Control,Nuclei_Intensity_MeanIntensityEdge_RNA,0.1766796791670328,0.1766796791670328
0,Control,Nuclei_RadialDistribution_MeanFrac_Mito_1of4,-0.14446958740695723,0.14446958740695723
0,Control,Nuclei_Intensity_MaxIntensity_RNA,0.08036809968306535,0.08036809968306535
0,Control,Cells_Intensity_IntegratedIntensityEdge_AGP,-0.051909079691915896,0.051909079691915896
0,Control,Cytoplasm_Intensity_StdIntensity_ER,0.046880775928682665,0.046880775928682665
0,Control,Cytoplasm_Intensity_MADIntensity_DNA,0.0001207169229367421,0.0001207169229367421
0,Control,Cytoplasm_RadialDistribution_MeanFrac_ER_2of4,0.0,0.0
0,Control,Cytoplasm_AreaShape_Zernike_9_1,0.0,0.0
0,Control,Cells_RadialDistribution_FracAtD_ER_3of4,0.0,0.0
0,Control,Cytoplasm_AreaShape_Zernike_3_3,0.0,0.0
0,Control,Cytoplasm_AreaShape_Compactness,0.0,0.0
0,Control,Cytoplasm_AreaShape_Zernike_5_3,0.0,0.0
0,Control,Cytoplasm_AreaShape_Zernike_7_3,0.0,0.0
0,Control,Cells_Intensity_MassDisplacement_Mito,0.0,0.0
0,Control,Nuclei_RadialDistribution_RadialCV_Mito_3of4,0.0,0.0
0,Control,Cytoplasm_Intensity_MassDisplacement_DNA,0.0,0.0
0,Control,Cells_AreaShape_Zernike_9_9,0.0,0.0
0,Control,Cytoplasm_Intensity_IntegratedIntensityEdge_RNA,0.0,0.0
0,Control,Cells_AreaShape_Zernike_8_2,0.0,0.0
0,Control,Nuclei_RadialDistribution_RadialCV_ER_2of4,0.0,0.0
0,Control,Nuclei_RadialDistribution_RadialCV_ER_1of4,0.0,0.0
0,Control,Cells_Intensity_MADIntensity_DNA,0.0,0.0
0,Control,Cells_AreaShape_Perimeter,0.0,0.0
0,Control,Cells_Intensity_MaxIntensityEdge_ER,0.0,0.0
0,Control,Cytoplasm_AreaShape_Zernike_3_1,0.0,0.0
0,Control,Cytoplasm_AreaShape_Zernike_9_3,0.0,0.0
0,Control,Cells_Intensity_IntegratedIntensityEdge_Mito,0.0,0.0
0,Control,Cytoplasm_RadialDistribution_MeanFrac_Mito_3of4,0.0,0.0
0,Control,Cytoplasm_AreaShape_Center_X,0.0,0.0
0,Control,Cells_RadialDistribution_MeanFrac_DNA_2of4,0.0,0.0
0,Control,Cells_AreaShape_Zernike_5_3,0.0,0.0
0,Control,Cytoplasm_RadialDistribution_RadialCV_Mito_4of4,0.0,0.0
