Metadata_broad_sample,Metadata_Plate,Metadata_Well,Metadata_pert_iname,Metadata_InChIKey,Control,Cytoskeletal,Hsp90,Kinase,Genotoxin,Miscellaneous,Redox,HDAC,mTOR,Proteasome,Saponin,Mitochondria,Ferroptosis,Tannin,Nonspecific reactive,pred_injury,datatype,shuffled
BRD-K00259736-001-16-4,BR00116991,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,9.248970286613804e-76,1.0,1.8374531482887336e-20,1.5187121671687212e-65,6.193875308487525e-36,9.218502097860752e-34,1.3978012812895038e-33,3.6265131084792467e-146,6.232392459503278e-121,5.08401856473812e-35,1.0442211365287904e-83,9.931928556588976e-62,1.4904511350850444e-28,8.321757964158332e-41,7.230024426761603e-27,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00116992,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,3.322087001895122e-104,1.0,2.6644408463914078e-27,1.4262320631266873e-108,1.6648977924516802e-47,1.8451386668293987e-47,2.4527689642681873e-17,3.3478789778237584e-138,1.0258283553208806e-191,2.3483265032021727e-49,2.2172578546957494e-109,7.426127649550951e-66,6.762081334220228e-56,8.091655307446879e-36,2.6347239447042216e-32,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00116993,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,7.44364503796116e-111,1.0,2.741154146481223e-36,2.8053007574972015e-100,5.549022368025587e-43,2.4191872249106056e-54,2.101987256387534e-20,9.60712855327752e-150,2.3504076864229015e-202,2.4923397370924517e-44,2.0758975504905227e-125,1.55528303760815e-67,1.7381308930540094e-78,5.059451872273513e-30,8.332414271556216e-24,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00116994,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.593730202623248e-120,1.0,2.898080427872415e-42,4.905928691013988e-111,9.259003135594737e-48,4.138715494166963e-52,4.479196455067843e-34,5.594995611343039e-169,5.892515768297504e-206,9.521420588030619e-58,2.026157775338857e-127,3.5606385030560382e-68,5.7882486271470894e-74,1.1253006909131635e-36,8.693060478842481e-23,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00116995,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,3.7868134444101616e-72,1.0,9.408205610105504e-59,9.45714380092984e-100,2.7375463897804087e-55,9.011382017771863e-25,4.017655784090125e-34,1.8497165484909333e-57,2.31036630923107e-122,1.232123261337639e-18,4.99257607624038e-60,1.971438086765119e-61,8.014237411254448e-21,9.423710329395978e-46,5.3187509325383196e-61,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117024,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,3.415584616034652e-106,1.0,7.819365739096569e-75,6.0422824619815484e-89,1.546397356138414e-76,6.775457768048431e-35,2.3176571380440137e-27,1.7067278009921457e-99,5.951977191383042e-182,4.351850115087876e-32,8.336020512117562e-76,2.1073673568849087e-106,1.1869769378658147e-22,7.659033184912711e-79,2.0697921865299994e-80,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117025,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.404409489387963e-103,1.0,7.760092260256423e-92,6.6796864140999884e-108,5.134024886523618e-79,1.5646943213243558e-59,1.9558955633862857e-48,1.1217841292379393e-97,2.731821178594769e-184,8.349590048410011e-25,3.9424784553167734e-81,9.1242649827563e-85,7.319207625200325e-38,1.7518352523153753e-49,9.694753936306595e-87,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117026,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,5.269140665742413e-107,1.0,7.596179256243646e-95,1.4748453215251613e-101,3.2901641211373016e-77,2.756782283931972e-58,6.669278809691487e-52,2.9552479778033414e-85,1.778052651815185e-179,5.193637297744563e-34,1.633947499767321e-74,2.141080689712038e-79,2.0433632044574173e-61,1.4897508323370086e-44,1.7624240195851994e-88,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117017,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,3.1117246754122323e-105,1.0,3.4944002064784556e-31,2.1819131384712325e-79,2.698635528670352e-29,1.3760271644617922e-51,1.385166595154794e-32,1.0331303878833874e-95,5.373697290850125e-119,2.949935183696592e-45,1.7890584208579664e-91,5.1118849775657e-45,9.158658444813885e-102,2.8580487238495363e-44,4.723284292175218e-23,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117019,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.4241249783383914e-89,0.9999999999999905,1.5147751175778486e-15,7.229205516819222e-83,3.080519389527309e-34,3.89959836261527e-39,6.2981589560017285e-37,1.9245013796907273e-103,5.837568545783754e-107,1.0483964283631716e-40,7.199699505154891e-89,7.05724639933153e-31,1.1420726439492695e-79,7.251862247267758e-15,6.628825258958028e-16,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117015,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,9.286000314851685e-88,0.9999999999999758,4.497009331802284e-21,1.8864594728414313e-72,2.6416464764697622e-33,3.3404799505200378e-34,7.454864558804637e-36,2.6891358933400895e-84,3.698380261388393e-94,4.0896097171366494e-41,3.842525991741925e-82,8.152123640859216e-23,9.529975846171808e-85,2.4210598543408164e-14,2.2871784049779832e-18,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117016,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.4093241509790226e-109,0.001044098509551673,3.6933699318624053e-34,2.6875423718270917e-90,4.856828527722837e-44,1.4209134275688306e-46,3.294656235052796e-45,2.5919458498968723e-164,8.881945353629042e-126,2.3094150016723746e-49,6.989586377545627e-117,1.1595724097819922e-45,1.4411801260023652e-105,4.281971304726234e-38,0.9989559014904483,Nonspecific reactive,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117012,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.2672409707009689e-64,1.0,6.150483637132207e-78,2.446600104588341e-70,2.0049565887746572e-66,1.7981141830973395e-41,5.509337163421602e-54,2.5667310204358147e-66,3.146826038645963e-114,4.058504916601039e-34,4.33197733768085e-56,1.3753363322114379e-89,1.9056264372792586e-57,3.747628988946406e-84,2.021478803938159e-74,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117013,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,4.568166628674559e-87,1.0,1.3917121860476896e-100,6.351835987825052e-88,3.511178924937818e-83,8.843221664536597e-39,1.788674119722117e-55,6.877299747677833e-110,8.098567504074754e-156,1.5586671116368379e-34,3.0420386667726805e-59,2.229465085406031e-119,1.6347107990355552e-57,2.7567041784842404e-93,9.347679988041339e-87,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117010,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,6.004168896847923e-78,1.0,6.745861409970121e-88,5.714955439855762e-90,1.5071333150984856e-80,2.796691936551969e-34,8.431873741365032e-55,9.06255512766673e-57,3.5231578793022766e-138,2.229801656678046e-34,5.4553344347961946e-61,5.815308208861815e-94,5.177912332942527e-57,5.883809493143093e-69,5.557689684352559e-72,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117011,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.5384214018599722e-91,1.0,5.393510895962863e-119,1.8529547502158543e-105,5.34224305730067e-95,4.686817843775126e-38,3.562301434403535e-51,2.936604186706749e-107,1.4188034135157173e-181,1.920817335362245e-46,1.2396461302828894e-63,2.3361975674407636e-133,4.35185523915266e-31,6.560478578492982e-114,1.1183653802524436e-81,Cytoskeletal,JUMP Overlap,False
