Metadata_broad_sample,Metadata_Plate,Metadata_Well,Metadata_pert_iname,Metadata_InChIKey,Control,Cytoskeletal,Hsp90,Kinase,Genotoxin,Miscellaneous,Redox,HDAC,mTOR,Proteasome,Saponin,Mitochondria,Ferroptosis,Tannin,Nonspecific reactive,pred_injury,datatype,shuffled
BRD-K00259736-001-16-4,BR00116991,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,8.917855373379154e-79,1.0,1.9973449438767603e-23,1.378027375868941e-68,3.500308395949252e-37,1.8635529226560942e-39,1.0534179184596882e-36,1.0297198924642017e-146,1.5419606794722273e-122,1.816057016965094e-38,1.717022838717145e-85,1.5217943980268998e-68,6.26498793831836e-23,5.063189216089719e-45,3.693807162057476e-39,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00116992,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,2.497141425167307e-105,1.0,1.1473452140460831e-29,2.1768541097185283e-110,4.322694789345386e-48,3.0863305844519814e-54,4.070692526486572e-20,1.1634147235908052e-138,2.538523620765818e-192,1.731258654237448e-53,7.501951287578387e-110,4.391200309059303e-72,1.5068290470449062e-47,3.2443948456824703e-40,2.8902157127415685e-42,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00116993,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,4.820085460091017e-113,1.0,7.1099762143679914e-40,1.6253811605999408e-104,1.6821654434553906e-45,2.0895043275086705e-63,1.724110946351584e-24,1.5967008100239364e-150,7.326011578819457e-204,7.446903721806849e-50,1.028442308453895e-127,2.1306048400742193e-72,2.7809658373527204e-72,1.3115339276149199e-36,6.797659651257874e-38,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00116994,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,4.7663714004659446e-123,1.0,1.2631434406533237e-45,7.287611973466291e-115,9.77084251143625e-50,1.981240507047365e-61,4.337352714966899e-38,5.723214342392533e-169,2.1645512365974074e-207,3.49988763797991e-63,4.1358426115150365e-130,2.2938764657939092e-73,1.6311288364542264e-69,1.1776009414285138e-42,2.9055933178328006e-36,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00116995,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.2028445500029591e-73,1.0,8.385104887097936e-61,7.900583951057422e-102,2.1755892539516882e-55,5.666959501375425e-29,7.029599380747824e-37,1.7283017201608763e-58,1.2718375167545124e-122,7.916817653332964e-21,8.06480363095398e-62,5.0782507161902475e-64,6.195487486415152e-17,5.193447706430665e-51,8.077668899045371e-56,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117024,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,6.840438277866218e-107,1.0,8.953102253193628e-77,2.483365189128121e-90,1.8811071112585023e-75,6.694880573127864e-41,3.214134467567865e-30,9.559001334996338e-101,3.750530341371894e-182,7.859053481490855e-34,7.172294658499165e-75,5.248958767699643e-114,2.3886127885344016e-18,1.8440802705731535e-86,4.94570869098661e-69,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117025,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1.9856817574647465e-104,1.0,8.466487785460363e-94,2.040083222611802e-109,3.977414246029605e-78,4.6045430201067947e-66,8.671402938157564e-52,9.769163464320295e-99,3.7161805061168156e-184,2.0948100123381614e-27,6.606911708259382e-82,5.152471066927587e-90,9.265186527843575e-29,6.086068998298338e-53,5.732808137759937e-76,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117026,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,7.152996627250608e-109,1.0,2.948273610399887e-96,3.297574601660652e-103,4.7238510813649365e-76,6.193621078152726e-63,2.8557651482260586e-55,2.080110333226583e-86,6.312022148496304e-180,6.476213168416542e-37,1.5458992978912043e-75,3.713768014035609e-84,1.5726501727531408e-55,1.4924442448874894e-50,5.457491223737007e-83,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117017,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,6.919673994874253e-106,1.0,6.554979791994236e-33,8.338854492245074e-81,3.1334869289896872e-30,6.58117501759487e-55,7.951434712916038e-33,4.415063730999249e-95,5.1549195058289496e-120,2.3811709323001802e-48,1.0774503426844936e-92,7.15081338530583e-49,3.6232968230376167e-90,8.203772172304561e-50,2.110614073709702e-40,Cytoskeletal,JUMP Overlap,False
BRD-K00259736-001-16-4,BR00117019,K17,colchicine,IAKHMKGGTNLKSZ-INIZCTEOSA-N,8.61564943015591e-92,1.0,9.739088635994013e-18,5.888341907828965e-85,6.89792333399765e-36,3.3403396102223016e-44,1.400065349192854e-38,2.8398999970624806e-103,3.3841147179781252e-108,1.991713450463621e-44,3.3455185796664656e-91,2.1716958422144617e-32,5.964393302073235e-69,4.534657250684222e-19,7.638826597171409e-33,Cytoskeletal,JUMP Overlap,False
